PARAM1_STR,PARAM1_NUM,CATEGORY,PARAM2_STR,PARAM2_NUM,ORDER_NUM,VALID_FLG,COMMENTS
,132,"SUBJECT_ID_TO_PID","b71905",,1,"Y",
,133,"SUBJECT_ID_TO_PID","b85744",,1,"Y",
,134,"SUBJECT_ID_TO_PID","b75557",,1,"Y",
,135,"SUBJECT_ID_TO_PID","b61067",,1,"Y",
,136,"SUBJECT_ID_TO_PID","b74357",,1,"Y",
,137,"SUBJECT_ID_TO_PID","b87806",,1,"Y",
,138,"SUBJECT_ID_TO_PID","b62039",,3,"Y",
,138,"SUBJECT_ID_TO_PID","b67629",,1,"Y",
,138,"SUBJECT_ID_TO_PID","b74282",,2,"Y",
,139,"SUBJECT_ID_TO_PID","b66756",,1,"Y",
,140,"SUBJECT_ID_TO_PID","b89742",,1,"Y",
,141,"SUBJECT_ID_TO_PID","b63958",,1,"Y",
,142,"SUBJECT_ID_TO_PID","b67560",,1,"Y",
,143,"SUBJECT_ID_TO_PID","b86147",,1,"Y",
,144,"SUBJECT_ID_TO_PID","b60008",,1,"Y",
,145,"SUBJECT_ID_TO_PID","b67558",,1,"Y",
,145,"SUBJECT_ID_TO_PID","b88222",,2,"Y",
,146,"SUBJECT_ID_TO_PID","b72953",,1,"Y",
,147,"SUBJECT_ID_TO_PID","b87483",,1,"Y",
,148,"SUBJECT_ID_TO_PID","b69203",,1,"Y",
,149,"SUBJECT_ID_TO_PID","b66912",,1,"Y",
,150,"SUBJECT_ID_TO_PID","b70606",,1,"Y",
,151,"SUBJECT_ID_TO_PID","b70649",,1,"Y",
,152,"SUBJECT_ID_TO_PID","b89543",,1,"Y",
,153,"SUBJECT_ID_TO_PID","b87800",,1,"Y",
,154,"SUBJECT_ID_TO_PID","b62360",,1,"Y",
,154,"SUBJECT_ID_TO_PID","b60420",,2,"Y",
,155,"SUBJECT_ID_TO_PID","b77480",,1,"Y",
,156,"SUBJECT_ID_TO_PID","b75696",,2,"Y",
,156,"SUBJECT_ID_TO_PID","b67198",,1,"Y",
,157,"SUBJECT_ID_TO_PID","b83254",,1,"Y",
,158,"SUBJECT_ID_TO_PID","b77132",,1,"Y",
,159,"SUBJECT_ID_TO_PID","b75695",,1,"Y",
,160,"SUBJECT_ID_TO_PID","b88314",,1,"Y",
,161,"SUBJECT_ID_TO_PID","b85779",,1,"Y",
,162,"SUBJECT_ID_TO_PID","b66907",,1,"Y",
,163,"SUBJECT_ID_TO_PID","b76119",,1,"Y",
,164,"SUBJECT_ID_TO_PID","b69188",,1,"Y",
,165,"SUBJECT_ID_TO_PID","b84955",,1,"Y",
,166,"SUBJECT_ID_TO_PID","b89266",,1,"Y",
,167,"SUBJECT_ID_TO_PID","b88625",,1,"Y",
,168,"SUBJECT_ID_TO_PID","b89935",,1,"Y",
